,HasName,OutcomeType,IsCat,IsFemale,AgeuponOutcome,IsIntact
242,1,Adoption,1,1,0.2,0
243,1,Adoption,0,0,3.0,0
244,0,Transfer,1,1,2.0,1
245,0,Adoption,0,1,7.0,0
246,0,Euthanasia,1,0,0.1,1
247,1,Return_to_owner,0,1,2.0,0
248,1,Return_to_owner,0,1,0.4,1
249,1,Transfer,0,0,4.0,0
250,1,Return_to_owner,0,0,2.0,0
251,1,Transfer,0,1,7.0,0
252,1,Adoption,0,0,1.0,0
253,0,Transfer,1,0,0.1,0
254,1,Adoption,0,0,0.1,0
255,1,Adoption,1,0,0.2,0
256,0,Transfer,1,1,3.0,1
257,1,Transfer,0,1,4.0,0
258,1,Adoption,0,1,1.0,0
259,1,Adoption,0,1,2.0,0
260,1,Transfer,0,1,10.0,0
261,1,Adoption,1,0,0.2,0
262,1,Adoption,0,1,10.0,0
263,1,Adoption,1,1,2.0,0
264,1,Return_to_owner,0,1,7.0,0
265,0,Adoption,0,0,1.0,0
266,1,Transfer,0,0,5.0,0
267,1,Return_to_owner,0,1,6.0,0
268,0,Transfer,1,-1,0.0,-1
269,0,Euthanasia,0,1,7.0,0
270,1,Adoption,0,0,1.0,0
271,1,Adoption,0,0,1.0,0
272,0,Transfer,1,1,0.0,1
273,0,Transfer,1,1,1.0,1
274,1,Return_to_owner,0,0,5.0,0
275,1,Return_to_owner,0,1,2.0,0
276,1,Adoption,0,0,0.8,0
277,0,Transfer,1,1,0.2,1
278,1,Adoption,0,0,0.8,0
279,0,Transfer,1,1,0.1,1
280,0,Transfer,1,-1,0.0,-1
281,0,Transfer,1,1,5.0,0
282,0,Adoption,0,1,0.7,0
283,0,Transfer,0,0,1.0,1
284,1,Adoption,1,1,0.2,0
285,1,Return_to_owner,1,0,0.2,0
286,1,Return_to_owner,0,0,14.0,1
287,1,Return_to_owner,0,0,7.0,0
288,1,Adoption,0,0,2.0,0
289,1,Transfer,0,1,0.5,0
290,1,Adoption,0,0,0.9,0
291,1,Adoption,0,0,3.0,0
292,1,Transfer,1,1,0.2,1
293,1,Adoption,0,0,1.0,0
294,0,Euthanasia,1,1,0.1,1
295,1,Euthanasia,0,0,4.0,0
296,1,Adoption,1,0,8.0,0
297,1,Adoption,1,1,0.2,0
298,1,Adoption,0,1,0.2,0
299,0,Adoption,1,1,0.3,0
300,0,Euthanasia,0,0,2.0,1
301,1,Return_to_owner,0,0,6.0,0
302,1,Transfer,0,1,0.9,0
303,0,Transfer,0,1,1.0,0
304,0,Transfer,0,0,4.0,0
305,1,Adoption,1,0,0.2,0
306,0,Transfer,0,0,2.0,0
307,0,Adoption,0,1,0.2,0
308,1,Adoption,1,0,0.5,0
309,1,Adoption,1,0,8.0,0
310,1,Return_to_owner,1,0,3.0,0
311,1,Adoption,0,0,2.0,0
312,0,Transfer,0,0,0.2,1
313,0,Transfer,1,1,0.1,1
314,1,Adoption,1,1,0.2,0
315,1,Adoption,0,0,4.0,0
316,1,Transfer,1,0,5.0,0
317,1,Adoption,0,1,2.0,0
318,0,Transfer,1,1,0.5,1
319,0,Transfer,0,1,2.0,0
320,1,Return_to_owner,0,1,10.0,0
321,0,Transfer,1,0,0.5,1
322,1,Transfer,1,1,0.2,1
323,1,Adoption,0,0,0.5,0
324,1,Return_to_owner,0,0,8.0,0
325,0,Adoption,0,0,0.5,0
326,0,Transfer,1,0,0.2,1
327,1,Adoption,0,1,1.0,0
328,1,Adoption,0,1,1.0,0
329,1,Adoption,0,0,0.2,0
330,0,Transfer,1,-1,0.0,-1
331,0,Adoption,0,1,2.0,0
332,0,Adoption,1,1,0.2,0
333,1,Return_to_owner,1,0,0.8,0
334,0,Transfer,0,1,4.0,0
335,1,Adoption,0,0,0.3,0
336,0,Transfer,1,0,0.0,1
337,1,Transfer,0,0,6.0,1
338,1,Adoption,0,1,0.2,0
339,0,Transfer,1,1,0.7,1
340,1,Transfer,1,0,0.1,1
341,0,Transfer,1,1,0.3,1
342,1,Adoption,1,1,0.2,1
343,1,Return_to_owner,0,1,2.0,1
344,0,Adoption,0,0,0.3,0
345,0,Transfer,1,0,1.0,1
346,0,Adoption,1,1,0.2,0
347,0,Transfer,1,0,0.2,1
348,1,Adoption,1,1,0.3,0
349,1,Adoption,0,0,5.0,0
350,1,Return_to_owner,0,1,2.0,0
351,0,Transfer,1,1,0.0,1
352,1,Adoption,1,1,0.2,0
353,0,Adoption,0,1,0.8,0
354,0,Transfer,0,0,2.0,0
355,1,Adoption,0,1,0.8,0
356,0,Transfer,1,0,0.1,1
357,1,Return_to_owner,0,0,1.0,0
358,1,Adoption,1,1,0.6,0
359,1,Adoption,0,1,2.0,0
360,1,Transfer,0,1,7.0,0
361,1,Adoption,1,0,0.2,0
362,1,Euthanasia,1,0,12.0,0
363,1,Transfer,0,1,3.0,1
364,1,Transfer,1,1,0.2,0
365,1,Adoption,0,1,2.0,0
366,1,Return_to_owner,0,1,12.0,1
367,1,Adoption,0,1,1.0,0
368,0,Transfer,0,0,3.0,0
369,1,Adoption,1,1,0.1,0
370,0,Transfer,0,-1,0.0,-1
371,1,Return_to_owner,0,1,0.8,0
372,1,Adoption,1,1,0.2,0
373,1,Euthanasia,0,0,2.0,0
374,1,Return_to_owner,0,0,7.0,0
375,1,Transfer,0,0,0.3,0
376,1,Adoption,1,0,10.0,0
377,1,Return_to_owner,0,1,5.0,0
378,1,Adoption,0,1,2.0,0
379,1,Adoption,0,0,5.0,0
380,1,Adoption,1,0,0.4,0
381,0,Adoption,1,0,1.0,0
382,1,Transfer,0,0,1.0,1
383,1,Transfer,1,0,0.3,0
384,1,Transfer,0,1,2.0,0
385,1,Euthanasia,0,0,3.0,1
386,0,Transfer,1,0,0.1,1
387,0,Transfer,1,-1,0.1,-1
388,0,Transfer,1,1,0.1,1
389,1,Transfer,0,1,2.0,0
390,1,Adoption,0,0,1.0,0
391,0,Transfer,1,0,0.0,1
392,0,Adoption,0,0,2.0,0
393,1,Return_to_owner,0,0,0.8,1
394,1,Adoption,0,0,3.0,0
395,1,Euthanasia,1,1,0.1,1
396,1,Adoption,0,0,2.0,0
397,0,Transfer,1,0,2.0,0
398,0,Transfer,0,0,0.3,0
399,1,Return_to_owner,0,0,3.0,1
400,1,Transfer,0,0,1.0,0
401,1,Transfer,1,0,0.1,1
402,1,Adoption,0,1,1.0,0
403,0,Transfer,0,0,0.2,0
404,1,Return_to_owner,0,1,9.0,0
405,1,Adoption,0,0,2.0,0
406,1,Adoption,0,1,0.5,0
407,0,Adoption,0,0,0.2,0
408,1,Adoption,0,0,0.1,0
409,1,Transfer,0,1,1.0,1
410,1,Adoption,0,1,2.0,0
411,1,Return_to_owner,0,1,3.0,0
412,1,Adoption,1,0,0.2,1
413,1,Return_to_owner,0,1,2.0,0
414,1,Return_to_owner,0,0,2.0,0
415,0,Adoption,0,0,0.2,0
416,1,Euthanasia,1,1,12.0,0
417,0,Transfer,1,0,2.0,0
418,1,Euthanasia,0,1,0.7,1
419,1,Euthanasia,1,1,10.0,1
420,1,Adoption,1,0,0.2,0
421,1,Adoption,0,0,0.2,0
422,1,Return_to_owner,0,0,1.0,0
423,0,Transfer,1,1,2.0,1
424,1,Adoption,1,0,0.2,0
425,1,Adoption,1,1,0.2,0
426,0,Adoption,0,1,7.0,0
427,1,Adoption,0,1,2.0,0
428,1,Return_to_owner,0,1,0.3,1
429,1,Adoption,1,1,0.2,0
430,1,Adoption,1,0,0.2,0
431,1,Transfer,1,1,2.0,0
432,1,Adoption,1,1,0.5,0
433,0,Transfer,1,1,0.0,1
434,0,Adoption,1,1,0.2,0
435,1,Adoption,1,1,0.4,0
436,1,Transfer,1,0,0.2,0
437,1,Transfer,1,1,0.1,1
438,1,Euthanasia,0,1,1.0,0
439,0,Transfer,0,0,0.1,1
440,0,Return_to_owner,0,1,3.0,0
441,1,Adoption,0,0,3.0,0
442,1,Return_to_owner,0,0,6.0,1
443,1,Adoption,0,0,0.7,1
444,0,Adoption,1,0,0.3,0
445,1,Return_to_owner,0,0,3.0,0
446,0,Return_to_owner,0,0,0.1,1
447,1,Return_to_owner,1,1,0.2,0
448,0,Transfer,0,0,0.2,1
449,1,Euthanasia,0,0,1.0,1
450,1,Return_to_owner,0,0,5.0,0
451,1,Return_to_owner,0,1,7.0,0
452,0,Adoption,1,1,0.2,0
453,1,Return_to_owner,0,0,3.0,0
454,0,Adoption,1,1,0.1,1
455,1,Adoption,0,0,6.0,0
456,1,Transfer,0,1,0.2,1
457,1,Euthanasia,0,0,2.0,0
458,0,Transfer,1,-1,0.0,-1
459,0,Transfer,1,1,1.0,1
460,1,Return_to_owner,0,1,2.0,0
461,1,Adoption,1,0,0.2,0
462,1,Adoption,1,0,0.2,0
463,0,Euthanasia,1,0,8.0,0
464,0,Transfer,0,-1,0.0,-1
465,1,Return_to_owner,0,0,12.0,0
466,1,Return_to_owner,0,1,1.0,0
467,1,Return_to_owner,0,1,11.0,0
468,0,Transfer,1,1,0.0,1
469,1,Return_to_owner,0,0,2.0,0
470,1,Transfer,0,0,2.0,0
471,1,Adoption,0,0,2.0,0
472,1,Return_to_owner,0,0,3.0,0
473,0,Transfer,1,-1,0.0,-1
474,0,Euthanasia,1,0,0.1,1
475,0,Adoption,0,1,0.8,0
476,1,Return_to_owner,1,1,7.0,0
477,1,Return_to_owner,0,0,7.0,0
478,1,Return_to_owner,0,0,3.0,1
479,1,Return_to_owner,0,1,2.0,0
480,0,Return_to_owner,1,0,2.0,0
481,1,Return_to_owner,0,1,1.0,0
482,1,Adoption,1,1,0.4,0
483,0,Transfer,1,-1,0.7,-1
484,1,Adoption,1,0,0.2,1
485,1,Adoption,0,0,1.0,0
486,1,Adoption,1,1,0.3,0
487,0,Transfer,1,0,1.0,1
488,1,Transfer,0,0,1.0,0
489,1,Adoption,1,0,0.2,0
490,1,Adoption,0,1,0.7,0
491,0,Transfer,1,1,1.0,1
492,1,Return_to_owner,0,0,5.0,0
493,0,Transfer,0,1,0.1,1
494,1,Return_to_owner,0,1,3.0,0
495,1,Adoption,0,1,3.0,0
496,1,Adoption,0,1,0.2,0
497,1,Transfer,0,0,0.2,1
498,1,Return_to_owner,0,1,10.0,1
499,1,Return_to_owner,0,0,5.0,0
500,0,Transfer,1,0,0.1,1
501,1,Transfer,0,0,7.0,0
502,1,Return_to_owner,0,1,1.0,0
503,1,Adoption,1,0,0.2,1
504,1,Return_to_owner,1,0,4.0,0
505,1,Return_to_owner,0,1,3.0,1
506,1,Adoption,0,0,0.1,0
507,0,Transfer,1,1,0.0,1
508,0,Transfer,1,-1,0.0,-1
509,0,Transfer,1,-1,0.0,-1
510,1,Return_to_owner,0,1,1.0,0
511,0,Transfer,1,1,0.1,1
512,1,Return_to_owner,1,1,8.0,0
513,1,Transfer,1,1,0.1,1
514,1,Return_to_owner,0,0,10.0,0
515,1,Return_to_owner,1,0,0.3,0
516,1,Return_to_owner,0,0,3.0,0
517,1,Transfer,0,0,2.0,1
518,1,Return_to_owner,0,1,8.0,0
519,1,Adoption,0,1,3.0,0
520,1,Adoption,0,0,0.8,0
521,1,Adoption,1,0,0.2,0
522,0,Euthanasia,0,-1,9.0,-1
523,1,Adoption,0,0,1.0,0
524,1,Adoption,1,1,0.3,0
525,0,Euthanasia,1,0,4.0,1
526,1,Return_to_owner,0,1,2.0,0
527,0,Transfer,0,0,0.0,1
528,1,Adoption,1,0,0.2,0
529,1,Adoption,1,0,10.0,0
530,1,Transfer,1,1,0.2,1
531,1,Return_to_owner,0,0,3.0,0
532,1,Transfer,1,0,6.0,0
533,1,Transfer,0,1,7.0,0
534,1,Adoption,1,1,0.2,0
535,1,Adoption,1,0,0.3,0
536,1,Transfer,0,0,5.0,0
537,1,Return_to_owner,0,0,6.0,0
538,0,Euthanasia,1,0,8.0,0
539,1,Euthanasia,0,0,2.0,0
540,0,Adoption,1,0,0.2,0
541,0,Adoption,0,1,0.3,0
542,0,Euthanasia,1,-1,1.0,-1
543,0,Adoption,0,0,0.2,0
544,1,Adoption,1,0,5.0,0
545,0,Transfer,1,1,0.2,0
546,1,Return_to_owner,1,0,3.0,0
547,1,Return_to_owner,0,0,3.0,0
548,0,Adoption,0,1,3.0,0
549,1,Transfer,1,1,0.1,1
550,1,Adoption,0,1,0.2,0
551,1,Adoption,1,1,2.0,0
552,1,Return_to_owner,1,0,4.0,0
553,1,Died,1,0,0.1,1
554,1,Adoption,0,0,7.0,0
555,1,Transfer,1,1,0.2,1
556,1,Adoption,0,1,4.0,0
557,1,Transfer,1,0,0.2,0
558,0,Transfer,1,-1,2.0,-1
559,0,Transfer,0,1,0.1,1
560,1,Adoption,1,0,3.0,0
561,1,Adoption,1,1,0.2,0
562,0,Euthanasia,1,0,0.1,1
563,0,Transfer,0,1,0.1,1
564,1,Transfer,0,1,0.4,0
565,1,Adoption,1,1,0.2,0
566,0,Died,1,0,0.1,1
567,1,Adoption,0,1,2.0,0
568,1,Adoption,0,1,12.0,0
569,1,Return_to_owner,0,0,2.0,0
570,1,Return_to_owner,0,0,0.8,1
571,1,Return_to_owner,0,1,9.0,0
572,1,Adoption,0,1,2.0,0
573,1,Adoption,1,1,0.2,0
574,1,Adoption,0,1,0.4,0
575,1,Adoption,0,1,0.3,0
576,0,Transfer,1,-1,0.0,-1
577,1,Adoption,0,0,0.2,0
578,0,Transfer,1,0,0.0,0
579,1,Adoption,0,0,0.2,0
580,1,Adoption,1,0,0.2,0
581,0,Transfer,1,0,0.1,1
582,1,Transfer,1,0,0.3,0
583,1,Adoption,0,0,2.0,0
584,1,Transfer,1,0,12.0,0
585,1,Return_to_owner,0,1,2.0,0
586,1,Return_to_owner,0,0,2.0,0
587,1,Return_to_owner,0,1,3.0,1
588,0,Adoption,0,1,0.2,0
589,1,Euthanasia,0,0,3.0,1
590,1,Return_to_owner,0,1,5.0,0
591,1,Adoption,0,0,0.7,0
592,1,Adoption,1,0,10.0,0
593,0,Transfer,0,1,0.1,1
594,1,Adoption,0,1,1.0,0
595,1,Adoption,0,0,6.0,0
596,1,Adoption,1,1,3.0,0
597,1,Adoption,1,0,0.2,0
598,1,Return_to_owner,0,1,0.5,0
599,1,Adoption,0,1,1.0,1
600,0,Transfer,0,1,0.0,1
601,1,Transfer,0,0,2.0,0
602,0,Transfer,1,-1,0.1,-1
603,0,Transfer,1,0,0.4,1
604,0,Transfer,1,1,1.0,1
605,1,Transfer,0,1,1.0,0
606,1,Return_to_owner,1,1,1.0,0
607,0,Adoption,0,0,0.2,0
608,1,Adoption,1,1,0.2,0
609,0,Euthanasia,0,0,10.0,1
610,1,Adoption,0,1,2.0,0
611,1,Adoption,0,0,0.2,0
612,0,Transfer,1,-1,0.0,-1
613,0,Transfer,1,-1,0.0,-1
614,0,Adoption,0,1,1.0,0
615,1,Return_to_owner,0,0,7.0,0
616,1,Adoption,1,0,0.2,0
617,1,Transfer,0,1,2.0,1
618,1,Return_to_owner,0,0,12.0,0
619,0,Transfer,1,0,0.1,1
620,1,Adoption,1,1,0.2,0
621,0,Euthanasia,0,0,1.0,0
622,1,Adoption,1,1,0.2,0
623,0,Transfer,1,1,0.1,1
624,0,Adoption,0,1,0.2,0
625,0,Euthanasia,0,0,0.1,1
626,1,Transfer,0,0,1.0,0
627,1,Transfer,1,0,1.0,0
628,1,Return_to_owner,0,0,1.0,0
629,1,Adoption,0,0,0.1,0
630,0,Transfer,0,1,0.1,1
631,0,Adoption,1,0,0.2,0
632,0,Transfer,1,0,1.0,1
633,1,Transfer,1,0,2.0,0
634,1,Adoption,1,0,0.2,0
635,1,Return_to_owner,0,0,2.0,0
636,1,Adoption,0,0,0.3,0
637,1,Adoption,0,1,1.0,0
638,1,Adoption,0,1,2.0,0
639,1,Adoption,1,0,0.6,0
640,1,Return_to_owner,0,0,1.0,0
641,0,Adoption,0,0,3.0,0
642,1,Transfer,0,0,0.5,1
643,1,Return_to_owner,0,1,3.0,1
644,1,Transfer,0,1,1.0,0
645,1,Adoption,0,1,2.0,0
646,1,Transfer,0,0,0.8,1
647,1,Transfer,0,1,0.2,1
648,1,Adoption,0,1,5.0,0
649,1,Adoption,0,0,0.2,0
650,1,Euthanasia,1,1,10.0,0
651,1,Transfer,0,0,2.0,0
652,1,Adoption,0,0,0.3,0
653,1,Adoption,1,1,1.0,0
654,1,Return_to_owner,0,1,1.0,0
655,1,Adoption,0,1,0.5,0
656,1,Transfer,1,1,3.0,0
657,0,Adoption,0,1,0.2,0
658,0,Transfer,1,-1,1.0,-1
659,1,Transfer,1,0,0.2,0
660,1,Adoption,1,0,0.3,0
661,1,Adoption,1,1,1.0,0
662,1,Euthanasia,0,1,1.0,0
663,1,Return_to_owner,0,0,2.0,0
664,1,Adoption,1,1,0.5,0
665,1,Transfer,1,0,0.1,1
666,0,Transfer,1,0,0.1,1
667,1,Adoption,1,0,0.3,0
668,1,Adoption,1,1,0.2,1
669,1,Adoption,0,1,0.7,0
670,1,Euthanasia,1,0,12.0,0
671,1,Euthanasia,0,1,12.0,0
672,0,Transfer,1,1,0.1,1
673,1,Return_to_owner,0,0,1.0,0
674,1,Euthanasia,1,1,0.1,1
675,1,Adoption,0,1,5.0,0
676,0,Transfer,0,1,8.0,1
677,1,Transfer,0,1,8.0,0
678,1,Adoption,0,1,1.0,0
679,1,Transfer,0,0,2.0,0
680,1,Euthanasia,0,0,1.0,0
681,1,Adoption,1,1,0.2,0
682,0,Transfer,1,1,0.1,1
683,1,Transfer,1,1,2.0,1
684,1,Adoption,1,0,0.2,0
685,1,Adoption,1,0,4.0,0
686,1,Adoption,1,0,0.2,0
687,1,Adoption,1,0,0.2,0
688,1,Adoption,0,1,5.0,0
689,1,Adoption,1,1,0.4,0
690,1,Adoption,1,1,0.2,0
691,1,Adoption,1,1,0.2,0
692,1,Return_to_owner,0,1,3.0,0
693,1,Return_to_owner,0,0,3.0,0
694,1,Transfer,1,1,0.1,1
695,1,Return_to_owner,0,0,1.0,0
696,1,Transfer,0,0,2.0,0
697,0,Adoption,1,0,0.2,0
698,1,Return_to_owner,0,0,2.0,0
699,1,Return_to_owner,0,0,6.0,0
700,1,Transfer,0,0,0.4,1
701,1,Transfer,1,1,5.0,0
702,1,Adoption,1,0,0.2,0
